id,unit of measure (per pack),line item quantity,line item value,pack price,unit price,line item insurance (usd)
1637,20,289,7803.0,27.0,1.35,15.29
1638,100,3000,215970.0,71.99,0.72,345.55
1643,100,70,0.7,0.01,0.0,0.0
1644,100,1116,78120.0,70.0,0.7,124.99
1645,100,1116,78120.0,70.0,0.7,153.12
1646,20,832,26624.0,32.0,1.6,42.6
1647,100,213,15333.87,71.99,0.72,24.53
1648,100,10,3500.0,350.0,3.5,5.6
1861,100,340,47260.0,139.0,1.39,75.62
1660,100,1634,16.34,0.01,0.0,0.03
1673,180,400,15760.0,39.4,0.22,25.22
1674,90,6,47.28,7.88,0.09,0.08
1675,30,500,10925.0,21.85,0.73,17.48
1691,60,10080,29232.0,2.9,0.05,46.77
1693,30,6720,77145.6,11.48,0.38,123.43
1719,100,250,2.5,0.01,0.0,0.0
1722,30,300,4614.0,15.38,0.51,7.38
1723,60,300,4155.0,13.85,0.23,6.65
1724,30,100,1849.0,18.49,0.62,2.96
1730,100,1130,11.3,0.01,0.0,0.02
1797,60,400,2800.0,7.0,0.12,4.48
1798,60,10780,15631.0,1.45,0.02,25.01
1801,180,670,24783.3,36.99,0.21,39.65
1802,60,2000,11060.0,5.53,0.09,17.7
1803,60,1000,16630.0,16.63,0.28,26.61
1804,240,30,435.9,14.53,0.06,0.7
1820,100,1123,78610.0,70.0,0.7,154.08
1888,60,47879,569281.31,11.89,0.2,910.85
1889,60,61021,725539.69,11.89,0.2,1160.86
1905,60,4300,37023.0,8.61,0.14,59.24
1919,60,18030,26143.5,1.45,0.02,41.83
1926,60,50,663.5,13.27,0.22,1.06
1927,30,250,715.0,2.86,0.1,1.14
1928,30,60,1096.2,18.27,0.61,1.75
1929,200,12,150.48,12.54,0.06,0.24
1939,100,3000,30.0,0.01,0.0,0.05
1940,100,213,15333.87,71.99,0.72,30.05
1941,100,6502,65.02,0.01,0.0,0.1
1942,100,6875,549931.25,79.99,0.8,879.89
1954,120,434,35674.8,82.2,0.68,69.92
1955,60,1100,12540.0,11.4,0.19,24.58
1956,30,8400,85596.0,10.19,0.34,167.77
1957,60,3648,26448.0,7.25,0.12,51.84
1971,25,108,4050.0,37.5,1.5,7.94
1972,20,5958,160866.0,27.0,1.35,257.39
1973,20,3982,107514.0,27.0,1.35,210.73
2008,1,6998,160954.0,23.0,23.0,257.53
2014,30,300,7080.0,23.6,0.79,11.33
2015,240,40,557.6,13.94,0.06,0.89
2146,1,3470,79810.0,23.0,23.0,156.43
2147,1,3510,80730.0,23.0,23.0,158.23
2148,1,5000,12706.65,2.54,2.54,24.91
2153,60,6000,17400.0,2.9,0.05,34.1
2156,30,1300,20410.0,15.7,0.52,40.0
2157,200,120,733.2,6.11,0.03,1.44
2158,270,6,424.08,70.68,0.26,0.83
2159,240,40,540.4,13.51,0.06,1.06
2171,100,5751,460080.0,80.0,0.8,901.76
2173,25,3,225.0,75.0,3.0,0.44
2257,20,100,2700.0,27.0,1.35,5.29
2295,20,68,2176.0,32.0,1.6,4.26
2297,60,9000,21600.0,2.4,0.04,42.34
2298,60,700,7805.0,11.15,0.19,15.3
2305,30,25000,1260000.0,50.4,1.68,2469.6
2328,100,1680,117600.0,70.0,0.7,230.5
2399,100,2100,10500.0,5.0,0.05,20.58
2417,100,9000,648000.0,72.0,0.72,1270.08
2429,90,176,3359.84,19.09,0.21,6.59
2430,60,5017,24583.3,4.9,0.08,48.18
2431,240,929,3390.85,3.65,0.02,6.65
2432,60,6700,36582.0,5.46,0.09,71.7
2436,60,1350,19062.0,14.12,0.24,37.36
2437,30,1120,16307.2,14.56,0.49,31.96
2438,60,100,371.0,3.71,0.06,0.73
2439,60,1000,2920.0,2.92,0.05,5.72
2440,60,260,4035.2,15.52,0.26,7.91
2441,30,60,1100.4,18.34,0.61,2.16
2447,90,5000,160900.0,32.18,0.36,315.36
2450,5,166,2265.9,13.65,2.73,4.44
2451,60,1500,15150.0,10.1,0.17,29.69
2463,60,7840,71344.0,9.1,0.15,139.83
2474,300,40,1440.0,36.0,0.12,2.82
2475,90,6,43.2,7.2,0.08,0.08
2476,90,6,43.2,7.2,0.08,0.08
2477,100,425,38250.0,90.0,0.9,74.97
2478,100,276,24840.0,90.0,0.9,48.69
2481,60,76,300.2,3.95,0.07,0.59
2499,120,73,3000.3,41.1,0.34,5.88
2502,20,5,160.0,32.0,1.6,0.31
2503,20,4995,159840.0,32.0,1.6,313.29
2506,120,2040,83844.0,41.1,0.34,164.33
2536,60,26932,317528.28,11.79,0.2,622.36
2539,40,1000,110000.0,110.0,2.75,215.6
2558,100,800,56000.0,70.0,0.7,109.76
2559,30,150,1950.0,13.0,0.43,3.82
2562,40,140,15400.0,110.0,2.75,30.18
2571,60,2000,3800.0,1.9,0.03,7.45
2588,60,120,840.0,7.0,0.12,1.65
2601,30,20,438.0,21.9,0.73,0.86
2602,60,320,1475.2,4.61,0.08,2.89
2603,100,2000,144000.0,72.0,0.72,310.46
2632,120,2733,224625.27,82.19,0.68,440.27
2708,60,25000,187500.0,7.5,0.12,300.0
2740,20,10000,270000.0,27.0,1.35,432.0
2741,20,11500,310500.0,27.0,1.35,496.8
2756,20,8000,216000.0,27.0,1.35,345.6
2765,30,22500,277425.0,12.33,0.41,443.88
2766,240,500,950.0,1.9,0.01,1.52
2767,60,800,5600.0,7.0,0.12,8.96
2785,300,200,16440.0,82.2,0.27,26.3
2794,25,10000,200000.0,20.0,0.8,320.0
2795,25,5000,100000.0,20.0,0.8,160.0
2796,25,150,11250.0,75.0,3.0,18.0
2808,60,35065,54350.75,1.55,0.03,86.96
2823,20,2220,71040.0,32.0,1.6,113.66
2892,30,140,3313.8,23.67,0.79,5.3
2921,240,500,3630.0,7.26,0.03,5.81
2922,30,20,535.2,26.76,0.89,0.86
2923,30,10,443.0,44.3,1.48,0.71
2927,20,4500,144000.0,32.0,1.6,230.4
2960,100,2,278.0,139.0,1.39,0.44
2965,100,4,556.0,139.0,1.39,0.89
2993,30,200,696.0,3.48,0.12,1.11
2994,30,1200,23808.0,19.84,0.66,38.09
2995,30,30,1271.1,42.37,1.41,2.03
2996,84,3,32.31,10.77,0.13,0.05
3007,60,546,3822.0,7.0,0.12,6.12
3008,20,9048,244296.0,27.0,1.35,390.87
3009,100,3000,239970.0,79.99,0.8,383.95
3010,100,3199,255888.01,79.99,0.8,409.42
3026,30,400,8416.0,21.04,0.7,13.47
3037,100,805,62967.1,78.22,0.78,100.75
3039,100,4200,42.0,0.01,0.0,0.07
3040,100,2000,143980.0,71.99,0.72,230.37
3049,100,70,5039.3,71.99,0.72,8.06
3050,100,1116,78120.0,70.0,0.7,124.99
3055,100,850,61191.5,71.99,0.72,97.91
3080,90,20,563.0,28.15,0.31,0.9
3081,30,2500,37500.0,15.0,0.5,60.0
3094,60,520,13000.0,25.0,0.42,20.8
3096,60,2576,3889.76,1.51,0.03,6.22
3097,60,2464,3720.64,1.51,0.03,5.95
3152,100,100,7199.0,71.99,0.72,11.52
3153,100,100,1.0,0.01,0.0,0.0
3154,100,100,7199.0,71.99,0.72,11.52
3159,20,81,3798.09,46.89,2.34,6.08
3191,84,4,38.88,9.72,0.12,0.06
3192,60,150,3166.5,21.11,0.35,5.07
3193,60,1350,6979.5,5.17,0.09,11.17
3202,100,1123,78610.0,70.0,0.7,154.08
3245,20,9000,288000.0,32.0,1.6,460.8
3261,30,2016,24917.76,12.36,0.41,39.87
3282,30,1000,16190.0,16.19,0.54,25.9
3292,20,12315,332505.0,27.0,1.35,532.01
3294,30,50,1183.5,23.67,0.79,1.89
3302,60,1440,10440.0,7.25,0.12,20.46
3313,100,4500,45.0,0.01,0.0,0.09
3354,1,6998,160954.0,23.0,23.0,315.47
3357,200,60,360.6,6.01,0.03,0.58
3358,60,130,644.8,4.96,0.08,1.03
3359,60,40,1337.2,33.43,0.56,2.14
3360,25,1,75.0,75.0,3.0,0.12
3375,12,50000,19500.0,0.39,0.03,38.22
3378,100,1000,80000.0,80.0,0.8,156.8
3386,100,1000,71990.0,71.99,0.72,115.18
3419,40,862,65512.0,76.0,1.9,128.4
3421,30,5900,297360.0,50.4,1.68,475.78
3441,100,5500,395945.0,71.99,0.72,776.05
3456,60,6156,14774.4,2.4,0.04,28.96
3457,100,150,10800.0,72.0,0.72,21.17
3470,30,50,917.0,18.34,0.61,1.8
3479,1,3510,80730.0,23.0,23.0,158.23
3490,60,1200,5772.0,4.81,0.08,11.31
3499,20,839,26848.0,32.0,1.6,52.62
3507,100,5259,420720.0,80.0,0.8,824.61
3508,100,7,490.0,70.0,0.7,0.96
3551,20,1062,33984.0,32.0,1.6,66.61
3552,100,213,15336.0,72.0,0.72,30.06
3615,60,336,2520.0,7.5,0.12,4.94
3616,60,300,3345.0,11.15,0.19,6.56
3674,100,386,27020.0,70.0,0.7,52.96
3718,60,80,560.0,7.0,0.12,1.1
3719,120,1470,60417.0,41.1,0.34,118.42
3735,60,1000,3970.0,3.97,0.07,7.78
3736,60,3675,9371.25,2.55,0.04,18.37
3737,90,824,15515.92,18.83,0.21,30.41
3738,60,10560,163046.4,15.44,0.26,319.57
3739,60,10000,56800.0,5.68,0.09,111.33
3743,60,1560,23649.6,15.16,0.25,46.35
3745,30,360,849.6,2.36,0.08,1.67
3746,200,3000,5970.0,1.99,0.01,11.7
3747,60,1977,23091.36,11.68,0.19,45.26
3748,30,282,4314.6,15.3,0.51,8.46
3749,240,30,312.6,10.42,0.04,0.61
3751,30,60,1095.0,18.25,0.61,2.15
3752,5,10,125.1,12.51,2.5,0.25
3753,270,2,114.9,57.45,0.21,0.23
3754,84,20,147.0,7.35,0.09,0.29
3763,5,334,4559.1,13.65,2.73,8.94
3767,30,3500,44170.0,12.62,0.42,86.57
4020,60,1500,41475.0,27.65,0.46,66.36
3768,90,2000,43360.0,21.68,0.24,84.99
3769,120,1400,49532.0,35.38,0.29,97.08
3770,60,1800,7110.0,3.95,0.07,13.94
3771,100,800,9888.0,12.36,0.12,19.38
3772,60,36,254.88,7.08,0.12,0.5
3781,100,20,7000.0,350.0,3.5,13.72
3787,100,30,371.1,12.37,0.12,0.73
3808,100,7500,600000.0,80.0,0.8,1176.0
3828,60,54432,641753.28,11.79,0.2,1257.84
3839,100,180,12600.0,70.0,0.7,24.7
3840,60,2048,109998.08,53.71,0.9,215.6
3846,60,35616,240408.0,6.75,0.11,471.2
3848,30,6552,42588.0,6.5,0.22,83.47
3851,60,15960,23142.0,1.45,0.02,45.36
3852,60,3500,39025.0,11.15,0.19,76.49
3870,100,1,350.0,350.0,3.5,0.69
3880,60,120,840.0,7.0,0.12,1.65
3894,60,360,7041.6,19.56,0.33,13.8
3895,30,40,678.8,16.97,0.57,1.33
3896,60,200,3136.0,15.68,0.26,6.15
3897,240,30,328.2,10.94,0.05,0.64
3898,270,30,2298.0,76.6,0.28,4.5
3899,30,300,7440.0,24.8,0.83,14.58
3992,100,1500,120000.0,80.0,0.8,192.0
4021,120,1000,82190.0,82.19,0.68,131.5
4023,100,300,3.0,0.01,0.0,0.0
4025,60,1161,6548.04,5.64,0.09,10.48
4044,25,10000,200000.0,20.0,0.8,320.0
4045,25,10000,200000.0,20.0,0.8,392.0
4085,100,442,4.42,0.01,0.0,0.01
4100,20,250,6750.0,27.0,1.35,10.8
4189,60,800,15408.0,19.26,0.32,24.65
4190,60,800,4792.0,5.99,0.1,7.67
4192,20,2450,78400.0,32.0,1.6,125.44
4193,60,38784,271488.0,7.0,0.12,434.38
4198,120,2000,164400.0,82.2,0.68,263.04
4215,60,800,1400.0,1.75,0.03,2.24
4257,60,100,2318.0,23.18,0.39,3.71
4258,60,800,13960.0,17.45,0.29,22.34
4259,240,300,2049.0,6.83,0.03,3.28
4283,60,180,1850.4,10.28,0.17,2.96
4290,30,800,21720.0,27.15,0.9,34.75
4301,100,4300,309557.0,71.99,0.72,495.29
4302,40,476,36176.0,76.0,1.9,57.88
4303,20,3150,100800.0,32.0,1.6,161.28
4311,100,1116,78120.0,70.0,0.7,124.99
4312,20,1062,33984.0,32.0,1.6,54.37
4321,100,200,2.0,0.01,0.0,0.0
4331,40,500,39500.0,79.0,1.98,63.2
4333,100,142,1.42,0.01,0.0,0.0
4347,240,1000,6410.0,6.41,0.03,10.26
4367,60,408,3162.0,7.75,0.13,5.06
4368,60,10420,77108.0,7.4,0.12,123.37
4369,60,9600,71040.0,7.4,0.12,113.66
4372,120,1520,124944.0,82.2,0.68,199.91
4373,120,800,65760.0,82.2,0.68,105.22
4432,100,30,2550.0,85.0,0.85,4.08
4456,60,15360,113664.0,7.4,0.12,181.86
4457,60,2180,6997.8,3.21,0.05,11.2
4458,60,2016,18648.0,9.25,0.15,29.84
4459,60,400,2800.0,7.0,0.12,4.48
4460,30,10080,103219.2,10.24,0.34,165.15
4461,60,4,52.96,13.24,0.22,0.08
4470,100,2059,144130.0,70.0,0.7,230.61
4531,30,400,9536.0,23.84,0.79,15.26
4534,20,5900,188800.0,32.0,1.6,370.05
4567,30,2597,61470.99,23.67,0.79,120.48
4593,100,3000,215970.0,71.99,0.72,345.55
4594,20,1062,33984.0,32.0,1.6,54.37
4611,20,5,160.0,32.0,1.6,0.26
4615,100,8,560.0,70.0,0.7,0.9
4635,60,1848,5359.2,2.9,0.05,8.57
4646,1,1369,51337.5,37.5,37.5,100.62
4647,1,7002,161046.0,23.0,23.0,315.65
4648,1,7002,161046.0,23.0,23.0,315.65
4649,1,7002,161046.0,23.0,23.0,257.67
4650,100,7690,76.9,0.01,0.0,0.15
4709,60,18560,168896.0,9.1,0.15,331.04
4722,20,650,20800.0,32.0,1.6,33.28
4794,60,545,3815.0,7.0,0.12,7.48
4798,30,200,592.0,2.96,0.1,1.16
4804,20,1678,53696.0,32.0,1.6,105.24
4818,100,10000,80000.0,8.0,0.08,156.8
4824,30,24963,1258135.2,50.4,1.68,2465.94
4854,100,351,25272.0,72.0,0.72,49.53
4921,60,5200,15080.0,2.9,0.05,29.56
4929,25,300,6000.0,20.0,0.8,11.76
4947,36,80,6800.0,85.0,2.36,13.33
4949,120,10680,438948.0,41.1,0.34,860.34
5032,30,7000,113050.0,16.15,0.54,221.58
5033,60,983,4875.68,4.96,0.08,9.56
5034,60,1325,3339.0,2.52,0.04,6.54
5035,60,2880,44812.8,15.56,0.26,87.83
5036,60,6800,82620.0,12.15,0.2,161.94
5037,30,3414,49810.26,14.59,0.49,97.63
5041,60,5000,62750.0,12.55,0.21,122.99
5042,30,6215,102609.65,16.51,0.55,201.11
5043,30,3000,7470.0,2.49,0.08,14.64
5044,30,500,1530.0,3.06,0.1,3.0
5045,30,1200,14532.0,12.11,0.4,28.48
5046,30,500,8820.0,17.64,0.59,17.29
5047,30,80,2336.0,29.2,0.97,4.58
5048,90,1,5.97,5.97,0.07,0.01
5049,60,500,6555.0,13.11,0.22,12.85
5050,60,300,1179.0,3.93,0.07,2.31
5051,30,80,188.8,2.36,0.08,0.37
5052,270,28,1578.92,56.39,0.21,3.09
5053,90,30,829.5,27.65,0.31,1.63
5058,240,108,610.2,5.65,0.02,1.2
5059,60,9620,68109.6,7.08,0.12,133.49
5066,100,20,7000.0,350.0,3.5,13.72
5076,30,250,5315.0,21.26,0.71,10.42
5081,90,100,3220.0,32.2,0.36,6.31
5083,120,400,14400.0,36.0,0.3,28.22
5113,30,28034,195677.32,6.98,0.23,383.53
5114,540,2000,70420.0,35.21,0.07,138.02
5119,40,476,52360.0,110.0,2.75,102.63
5120,40,18,1980.0,110.0,2.75,3.88
5147,20,6760,216320.0,32.0,1.6,423.99
5175,270,820,73074.13,89.11,0.33,143.23
5194,60,30,1081.8,36.06,0.6,2.12
5195,120,200,8396.0,41.98,0.35,16.46
5199,25,4,300.0,75.0,3.0,0.59
5201,300,20,822.0,41.1,0.14,1.61
5352,20,1500,48000.0,32.0,1.6,76.8
5353,100,300,21597.0,71.99,0.72,34.56
5364,60,1577,14981.5,9.5,0.16,23.97
5365,100,450,4.5,0.01,0.0,0.01
5366,100,300,3.0,0.01,0.0,0.0
5428,30,2000,47000.0,23.5,0.78,75.2
5446,30,1400,23100.0,16.5,0.55,36.96
5507,30,600,12996.0,21.66,0.72,20.79
5508,90,3,28.95,9.65,0.11,0.05
5509,180,400,19304.0,48.26,0.27,30.89
5510,30,100,2208.0,22.08,0.74,3.53
5522,120,1000,82200.0,82.2,0.68,131.52
5532,100,1500,107985.0,71.99,0.72,172.78
5534,60,600,900.0,1.5,0.02,1.44
5551,100,2,278.0,139.0,1.39,0.44
5575,60,200,1146.0,5.73,0.1,1.83
5589,20,450,14400.0,32.0,1.6,23.04
5590,20,7301,197127.0,27.0,1.35,315.4
5595,100,1436,14.36,0.01,0.0,0.02
5596,100,1436,103377.64,71.99,0.72,165.4
5622,100,2000,20.0,0.01,0.0,0.03
5634,25,659,13180.0,20.0,0.8,25.83
5635,100,7,2450.0,350.0,3.5,3.92
5645,100,200,14398.0,71.99,0.72,23.04
5646,100,285,2.85,0.01,0.0,0.0
5647,100,850,8.5,0.01,0.0,0.01
5657,20,1275,34425.0,27.0,1.35,55.08
5658,20,85,2720.0,32.0,1.6,4.35
5661,40,331,25156.0,76.0,1.9,40.25
5675,60,1000,16400.0,16.4,0.27,26.24
5676,60,3000,16350.0,5.45,0.09,26.16
5677,60,200,978.0,4.89,0.08,1.56
5678,30,20,723.4,36.17,1.21,1.16
5701,60,500,12500.0,25.0,0.42,20.0
5703,30,2016,27538.56,13.66,0.46,44.06
5713,100,250,17997.5,71.99,0.72,28.8
5717,60,100,2030.0,20.3,0.34,3.25
5769,100,100,1.0,0.01,0.0,0.0
5793,60,3024,27972.0,9.25,0.15,44.76
5794,120,1040,85488.0,82.2,0.68,136.78
5796,60,9576,24897.6,2.6,0.04,39.84
5799,60,8,397.92,49.74,0.83,0.64
5800,60,4,56.16,14.04,0.23,0.09
5801,30,30,738.3,24.61,0.82,1.18
5802,200,6,78.48,13.08,0.07,0.13
5815,100,121,16819.0,139.0,1.39,26.91
5818,100,84,11676.0,139.0,1.39,18.68
5821,100,28,9800.0,350.0,3.5,19.21
5857,100,4327,302890.0,70.0,0.7,484.62
5860,100,1396,100498.04,71.99,0.72,196.98
5894,60,15960,38304.0,2.4,0.04,61.29
5895,30,5040,62294.4,12.36,0.41,99.67
5905,240,132,1990.56,15.08,0.06,3.18
5916,30,30,1171.5,39.05,1.3,1.87
5917,1000,7,184.45,26.35,0.03,0.3
5928,20,8485,229095.0,27.0,1.35,449.03
5935,120,6,493.2,82.2,0.68,0.97
5936,60,880,20680.0,23.5,0.39,40.53
5937,60,280,1960.0,7.0,0.12,3.84
5976,1,6998,160954.0,23.0,23.0,257.53
5978,60,350,1736.0,4.96,0.08,2.78
5979,30,100,1828.0,18.28,0.61,2.92
5987,100,1174,82180.0,70.0,0.7,131.49
6023,1000,30,197.1,6.57,0.01,0.39
6041,100,1174,82180.0,70.0,0.7,161.07
6062,100,150,1.5,0.01,0.0,0.0
6081,60,6966,16718.4,2.4,0.04,32.77
6082,60,4200,12180.0,2.9,0.05,23.87
6084,20,4916,157312.0,32.0,1.6,308.33
6105,20,2500,80000.0,32.0,1.6,156.8
6106,20,8964,242028.0,27.0,1.35,474.37
6111,1,3510,80730.0,23.0,23.0,158.23
6125,60,120,2355.6,19.63,0.33,4.62
6139,25,108,4050.0,37.5,1.5,7.94
6196,1000,12,629.88,52.49,0.05,1.23
6253,20,700,22400.0,32.0,1.6,43.9
6257,60,9576,13885.2,1.45,0.02,27.21
6272,100,1132,81504.0,72.0,0.72,159.75
6312,30,3912,88020.0,22.5,0.75,172.52
6369,120,10,411.0,41.1,0.34,0.81
6381,60,260,3315.0,12.75,0.21,6.5
6394,60,5000,27450.0,5.49,0.09,53.8
6395,200,1320,1504.8,1.14,0.01,2.95
6396,200,500,1000.0,2.0,0.01,1.96
6397,60,10260,39193.2,3.82,0.06,76.82
6398,60,20213,50734.63,2.51,0.04,99.44
6399,60,1140,4286.4,3.76,0.06,8.4
6400,240,23,83.72,3.64,0.02,0.16
6401,200,400,440.0,1.1,0.01,0.86
6402,240,156,845.52,5.42,0.02,1.66
6403,240,44,237.6,5.4,0.02,0.47
6404,30,1600,26624.0,16.64,0.55,52.18
6405,60,800,9856.0,12.32,0.21,19.32
6411,240,3304,18667.6,5.65,0.02,40.25
6415,240,1200,7248.0,6.04,0.03,14.21
6416,60,2775,8325.0,3.0,0.05,16.32
6417,240,150,1407.0,9.38,0.04,2.76
6418,30,6500,82030.0,12.62,0.42,160.78
6431,300,50,2055.0,41.1,0.14,4.03
6432,30,650,13819.0,21.26,0.71,27.09
6436,30,2000,25040.0,12.52,0.42,49.08
6437,60,2000,14160.0,7.08,0.12,27.75
6438,200,400,832.0,2.08,0.01,1.63
6439,240,80,750.4,9.38,0.04,1.47
6440,60,24,94.8,3.95,0.07,0.19
6450,100,800,56000.0,70.0,0.7,109.76
6451,20,7000,224000.0,32.0,1.6,439.04
6488,540,2000,70420.0,35.21,0.07,138.02
6517,60,6048,8769.6,1.45,0.02,17.19
6519,100,1200,84000.0,70.0,0.7,164.64
6524,25,7,525.0,75.0,3.0,1.03
6544,60,120,840.0,7.0,0.12,1.65
6546,60,320,2240.0,7.0,0.12,4.39
